课程名,代码,学分,学期,成绩,类别,备注
新生研讨课,,1.0,大一上,通过,通识课,
军事理论,,2.0,大一上,95,通识课,
程序设计基础,,4.0,大一上,75,必修课,
大学商务英语（一）,,4.0,大一上,84,通识课,
思想道德与法治,,3.0,大一上,89,通识课,
心理健康与自我成长,,2.0,大一上,84,通识课,
高等数学（一）,,4.0,大一上,89,必修课,
高等代数（一）,,3.0,大一上,77,必修课,
体育基础,,1.0,大一上,85,通识课,
军政训练,,2.0,大一上,通过,通识课,
财务会计,,3.0,大一下,92,必修课,
数据结构与算法分析,,4.0,大一下,90,必修课,
微观经济学,,3.0,大一下,85,必修课,
大学英语自主听力,,2.0,大一下,通过,通识课,
大学商务英语（二）,,4.0,大一下,82,通识课,
中国近现代史纲要,,3.0,大一下,89,通识课,
习近平新时代中国特色社会主义思想概论,,3.0,大一下,94,通识课,
重读鲁迅,,2.0,大一下,80,通识课,
法律大数据分析,,2.0,大一下,92,选修课,外
高等数学（二）,,4.0,大一下,82,必修课,
高等代数（二）,,3.0,大一下,89,必修课,
武术,,1.0,大一下,85,通识课,
离散数学,,3.0,大二上,76,必修课,
概率论与数理统计,,4.0,大二上,93,必修课,
货币银行学,,3.0,大二上,87,必修课,
数字贸易,,1.0,大二上,94,必修课,
宏观经济学,,3.0,大二上,80,必修课,
全球化时代的前沿问题,,2.0,大二上,89,通识课,
马克思主义基本原理概论,,3.0,大二上,84,通识课,
毛泽东思想和中国特色社会主义理论体系概论,,3.0,大二上,88,通识课,
唐宋诗词选讲,,2.0,大二上,91,通识课,
国际贸易,,3.0,大二上,87,必修课,
管理学原理,,3.0,大二上,91,必修课,
劳动通论,,3.0,大二上,通过,通识课,外
MATLAB基础及应用,,1.0,大二上,89,必修课,
数据库系统原理,,2.0,大二下,82,必修课,
机器学习,,3.0,大二下,82,必修课,
随机过程,,2.0,大二下,87,必修课,
R语言,,2.0,大二下,86,必修课,
计算机网络,,3.0,大二下,81,必修课,
棒/垒球,,1.0,大二下,87,通识课,
计算机组成原理,,3.0,大三上,86,必修课,
操作系统原理,,3.0,大三上,88,必修课,
机器视觉,,2.0,大三上,91,必修课,
数据科学与人工智能导论,,2.0,大三上,89,必修课,
应用工程数学,,4.0,大三上,91,必修课,
自然语言处理,,3.0,大三上,100,必修课,
JAVA程序设计,,3.0,大三上,88,必修课,
区块链技术基础,,2.0,大三上,95,选修课,
当代国际关系通论,,2.0,大三上,92,通识课,
投资学,,3.0,大三上,80,必修课,
